index,regime,q,day,value
NDX,HMM,10,19,-3.793
NDX,HMM,10,20,-3.552
NDX,HMM,10,21,-3.488
NDX,HMM,25,0,0.0
NDX,HMM,25,1,-0.065
NDX,HMM,25,2,-0.275
NDX,HMM,25,3,-1.096
NDX,HMM,25,4,-0.752
NDX,HMM,25,5,-0.681
NDX,HMM,25,6,-0.807
NDX,HMM,25,7,-0.855
NDX,HMM,25,8,-0.607
NDX,HMM,25,9,-0.484
NDX,HMM,25,10,0.263
NDX,HMM,25,11,0.028
NDX,HMM,25,12,0.196
NDX,HMM,25,13,-0.484
NDX,HMM,25,14,-0.252
NDX,HMM,25,15,-0.556
NDX,HMM,25,16,-1.236
NDX,HMM,25,17,-1.133
NDX,HMM,25,18,-0.65
NDX,HMM,25,19,-0.565
NDX,HMM,25,20,-0.048
NDX,HMM,25,21,0.221
NDX,HMM,50,0,0.0
NDX,HMM,50,1,0.444
NDX,HMM,50,2,0.854
NDX,HMM,50,3,0.4
NDX,HMM,50,4,0.645
NDX,HMM,50,5,0.681
NDX,HMM,50,6,0.088
NDX,HMM,50,7,1.031
NDX,HMM,50,8,0.998
NDX,HMM,50,9,0.878
NDX,HMM,50,10,0.897
NDX,HMM,50,11,0.94
NDX,HMM,50,12,1.155
NDX,HMM,50,13,0.981
NDX,HMM,50,14,1.374
NDX,HMM,50,15,1.411
NDX,HMM,50,16,1.588
NDX,HMM,50,17,1.888
NDX,HMM,50,18,1.731
NDX,HMM,50,19,2.131
NDX,HMM,50,20,2.139
NDX,HMM,50,21,1.811
NDX,HMM,75,0,0.0
NDX,HMM,75,1,1.092
NDX,HMM,75,2,1.518
NDX,HMM,75,3,1.883
NDX,HMM,75,4,1.719
NDX,HMM,75,5,1.457
NDX,HMM,75,6,1.278
NDX,HMM,75,7,2.297
NDX,HMM,75,8,2.733
NDX,HMM,75,9,3.007
NDX,HMM,75,10,3.104
NDX,HMM,75,11,2.57
NDX,HMM,75,12,2.977
NDX,HMM,75,13,3.458
NDX,HMM,75,14,3.36
NDX,HMM,75,15,3.748
NDX,HMM,75,16,3.556
NDX,HMM,75,17,3.775
NDX,HMM,75,18,4.523
NDX,HMM,75,19,4.962
NDX,HMM,75,20,5.183
NDX,HMM,75,21,5.814
NDX,HMM,90,0,0.0
NDX,HMM,90,1,2.122
NDX,HMM,90,2,2.235
NDX,HMM,90,3,2.958
NDX,HMM,90,4,3.193
NDX,HMM,90,5,3.232
NDX,HMM,90,6,3.123
NDX,HMM,90,7,3.427
NDX,HMM,90,8,3.568
NDX,HMM,90,9,3.815
NDX,HMM,90,10,4.101
NDX,HMM,90,11,4.832
NDX,HMM,90,12,5.451
NDX,HMM,90,13,4.481
NDX,HMM,90,14,5.926
NDX,HMM,90,15,6.819
NDX,HMM,90,16,5.728
NDX,HMM,90,17,6.043
NDX,HMM,90,18,6.502
NDX,HMM,90,19,5.858
NDX,HMM,90,20,7.287
NDX,HMM,90,21,7.387
NDX,LLH,10,0,0.0
NDX,LLH,10,1,-2.015
NDX,LLH,10,2,-2.746
NDX,LLH,10,3,-2.559
NDX,LLH,10,4,-3.123
NDX,LLH,10,5,-3.224
NDX,LLH,10,6,-4.063
NDX,LLH,10,7,-4.87
NDX,LLH,10,8,-5.666
NDX,LLH,10,9,-6.202
NDX,LLH,10,10,-6.899
NDX,LLH,10,11,-6.899
NDX,LLH,10,12,-7.802
NDX,LLH,10,13,-8.019
NDX,LLH,10,14,-8.641
NDX,LLH,10,15,-8.588
NDX,LLH,10,16,-9.449
NDX,LLH,10,17,-9.176
NDX,LLH,10,18,-9.047
NDX,LLH,10,19,-8.544
NDX,LLH,10,20,-8.025
NDX,LLH,10,21,-7.169
NDX,LLH,25,0,0.0
NDX,LLH,25,1,-0.428
NDX,LLH,25,2,-1.028
NDX,LLH,25,3,-0.822
NDX,LLH,25,4,-0.816
NDX,LLH,25,5,-1.213
NDX,LLH,25,6,-1.627
NDX,LLH,25,7,-2.491
NDX,LLH,25,8,-2.651
NDX,LLH,25,9,-2.594
NDX,LLH,25,10,-3.447
NDX,LLH,25,11,-3.929
NDX,LLH,25,12,-4.066
NDX,LLH,25,13,-3.753
NDX,LLH,25,14,-3.102
NDX,LLH,25,15,-2.128
NDX,LLH,25,16,-3.049
NDX,LLH,25,17,-2.728
NDX,LLH,25,18,-1.993
NDX,LLH,25,19,-1.438
NDX,LLH,25,20,-1.561
NDX,LLH,25,21,-2.636
NDX,LLH,50,0,0.0
NDX,LLH,50,1,0.225
NDX,LLH,50,2,0.681
NDX,LLH,50,3,0.564
NDX,LLH,50,4,0.722
NDX,LLH,50,5,1.024
NDX,LLH,50,6,0.567
NDX,LLH,50,7,0.583
NDX,LLH,50,8,0.448
NDX,LLH,50,9,0.196
NDX,LLH,50,10,0.428
NDX,LLH,50,11,0.427
NDX,LLH,50,12,0.741
NDX,LLH,50,13,1.126
NDX,LLH,50,14,1.124
NDX,LLH,50,15,1.754
NDX,LLH,50,16,1.885
NDX,LLH,50,17,2.333
NDX,LLH,50,18,2.45
NDX,LLH,50,19,3.151
NDX,LLH,50,20,3.472
NDX,LLH,50,21,3.573
NDX,LLH,75,0,0.0
NDX,LLH,75,1,1.281
NDX,LLH,75,2,1.955
NDX,LLH,75,3,1.874
NDX,LLH,75,4,2.748
NDX,LLH,75,5,3.239
NDX,LLH,75,6,2.438
NDX,LLH,75,7,2.602
NDX,LLH,75,8,2.667
